word,meaning,example,az,ru,tr
present,Existing or occurring now,She is ***** at the meeting.,indiki,настоящий,mevcut
without,Lacking or free from something,I went out ***** my phone.,olmadan,без,olmadan
build,To construct or develop,They will ***** a new house.,qurmaq,строить,inşa etmek
hear,To perceive sound,I can ***** the music playing.,eşitmək,слышать,duymak
light,A source of illumination,The ***** is too bright.,işıq,свет,ışık
unite,To bring together as one,They ***** for a common goal.,birləşdirmək,объединять,birleştirmek
live,To be alive or exist,They ***** in a small town.,yaşamaq,жить,yaşamak
every,Including all members,***** student passed the test.,hər,каждый,her
country,A nation with its own government,France is a beautiful *****.,ölkə,страна,ülke
bring,To carry or cause to come,Please ***** your books.,gətirmək,принести,getirmek
center,The middle point of something,The park is in the city *****.,mərkəz,центр,merkez
let,To allow or permit,***** him speak freely.,icazə vermək,разрешать,izin vermek
better,Of superior quality,This solution is *****.,daha yaxşı,лучше,daha iyi
big,Of large size,He lives in a ***** house.,böyük,большой,büyük
boy,A young male person,The ***** is playing outside.,oğlan,мальчик,erkek çocuk
cost,The price of something,The ***** of the car is high.,dəyəri,стоимость,maliyet
business,A commercial activity,She owns a small *****.,biznes,бизнес,iş
value,The worth of something,This painting has great *****.,qiymət,ценность,değer
second,Coming after the first,He finished in ***** place.,ikinci,второй,ikinci
why,For what reason,***** are you late?,niyə,почему,neden
clear,Easy to understand or see,The sky is ***** today.,açıq,ясный,açık
expect,To anticipate or predict,I ***** good results.,gözləmək,ожидать,beklemek
student,A person studying at school,She is a university *****.,tələbə,студент,öğrenci
month,A unit of time (about 30 days),April is my favorite *****.,ay,месяц,ay
drive,To operate a vehicle,He can ***** a car.,sürmək,водить,sürmek
concern,Worry or interest in something,This is a big ***** for us.,narahatlıq,беспокойство,endişe
best,The highest quality,She is the ***** singer.,ən yaxşı,лучший,en iyi
door,An entrance to a room/building,Open the ***** please.,qapı,дверь,kapı
hope,To wish for something positive,I ***** for good news.,ümid etmək,надеяться,umut etmek
example,A representative case,This is a good *****.,nümunə,пример,örnek
inform,To give knowledge or news,Please ***** me about it.,məlumat vermək,информировать,bilgilendirmek
body,The physical structure of a person,Exercise is good for the *****.,bədən,тело,vücut
again,Once more,Try ***** later.,yenidən,снова,tekrar
hold,To grasp or carry something,***** the book carefully.,tutmaq,держать,tutmak
govern,To rule or manage a state,The president will ***** wisely.,idarə etmək,управлять,yönetmek
around,In a circular direction,They walked ***** the park.,ətrafında,вокруг,etrafında
possible,Able to be done,Anything is *****.,mümkün,возможный,mümkün
head,The upper part of the body,He hit his ***** on the table.,baş,голова,baş
consider,To think carefully about,***** all options before deciding.,nəzərə almaq,рассматривать,düşünmek
word,A unit of language,Learn a new ***** every day.,söz,слово,kelime
program,A planned series of activities,The training ***** is useful.,proqram,программа,program
problem,A difficulty or challenge,We need to solve this *****.,problem,проблема,sorun
side,A part or surface of something,Stand on the other *****.,tərəf,сторона,taraf
try,To attempt or make an effort,***** your best in the exam.,cəhd etmək,пытаться,denemek
provide,To give or supply something,They ***** free meals.,təmin etmək,предоставлять,sağlamak
continue,To go on without stopping,Let's ***** our work.,davam etmək,продолжать,devam etmek
name,A word by which something is known,What is your *****?,ad,имя,isim
certain,Sure or definite,I am ***** about my decision.,müəyyən,определенный,kesin
power,The ability to do something,Knowledge is *****.,güc,сила,güç
pay,To give money for something,I will ***** for the ticket.,ödəmək,платить,ödemek